UF;Zona;Partido;Gênero;Grau de escolaridade;Faixa etária;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;UNIÃO;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;4;0,2353;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;FEMININO;SUPERIOR INCOMPLETO;Superior a 79 anos;1;0,0588;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ANALFABETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;4;0,3077;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;4;0,3077;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;3;0,2308;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;2;0,1538;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;1;0,0625;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;4;0,25;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;7;0,4375;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,0625;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;3;0,1875;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;4;0,1111;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;8;0,2222;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;15;0,4167;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;5;0,1389;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;4;0,1111;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;6;0,4615;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;4;0,3077;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;LÊ E ESCREVE;60 a 69 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;LÊ E ESCREVE;70 a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;2;0,0286;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;3;0,0429;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;15;0,2143;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;14;0,2;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;18;0,2571;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;18;0,2571;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;1;0,0313;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;6;0,1875;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;10;0,3125;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;9;0,2813;0;0;2024-10-04 18:04:53
RS;1;UNIÃO;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;6;0,1875;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;ENSINO MÉDIO COMPLETO;18 a 20 anos;3;0,2727;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;ENSINO MÉDIO COMPLETO;21 a 24 anos;2;0,1818;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;ENSINO MÉDIO COMPLETO;25 a 34 anos;4;0,3636;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;2;0,1818;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;ENSINO MÉDIO INCOMPLETO;21 a 24 anos;2;1;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;4;0,8;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;1;0,2;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;SUPERIOR INCOMPLETO;21 a 24 anos;3;0,75;0;0;2024-10-04 18:04:53
RS;1;UP;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;25 a 34 anos;1;1;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO MÉDIO COMPLETO;21 a 24 anos;3;0,6;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;2;0,4;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO MÉDIO INCOMPLETO;21 a 24 anos;2;0,2857;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;3;0,4286;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;2;0,2857;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;LÊ E ESCREVE;45 a 59 anos;1;1;0;1;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR INCOMPLETO;21 a 24 anos;2;0,2222;0;1;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;6;0,6667;0;0;2024-10-04 18:04:53
RS;1;UP;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;1;0,1111;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;1;0,1667;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;5;0,8333;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;25 a 34 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;1;0,2;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;2;0,4;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;2;0,4;0;0;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;1;0,3333;0;1;2024-10-04 18:04:53
RS;2;AGIR;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;2;0,6667;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;2;1;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;1;0,5;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;1;0,25;0;0;2024-10-04 18:04:53
RS;2;AGIR;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;LÊ E ESCREVE;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;3;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;2;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;AVANTE;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AVANTE;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AVANTE;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;AVANTE;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ANALFABETO;Superior a 79 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;2;0,5;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;6;0,6;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;2;0,2;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;1;0,1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;4;0,1739;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;9;0,3913;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;5;0,2174;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;5;0,2174;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;2;0,1667;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;0,0833;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;3;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;3;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;3;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;LÊ E ESCREVE;60 a 69 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;11;0,234;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;13;0,2766;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;13;0,2766;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;5;0,1064;0;1;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;5;0,1064;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;4;0,2857;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;4;0,2857;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;5;0,3571;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;1;0,0714;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;4;0,5;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;1;0,125;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;1;0,125;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;3;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;4;0,3333;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;1;0,0833;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;2;0,1667;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;2;0,1667;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;25 a 34 anos;1;0,0476;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;35 a 44 anos;1;0,0476;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;45 a 59 anos;6;0,2857;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;60 a 69 anos;9;0,4286;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;70 a 79 anos;4;0,1905;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;2;0,1538;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;6;0,4615;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;2;0,1538;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;2;0,1538;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;ENSINO MÉDIO INCOMPLETO;Superior a 79 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;LÊ E ESCREVE;Superior a 79 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;6;0,15;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;10;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;8;0,2;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;10;0,25;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;6;0,15;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;2;0,1538;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;5;0,3846;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;3;0,2308;0;0;2024-10-04 18:04:53
RS;2;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;Superior a 79 anos;1;0,0769;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;2;1;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;DC;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;DC;MASCULINO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;1;1;0;0;2024-10-04 18:04:53
RS;2;DC;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;2;0,6667;0;0;2024-10-04 18:04:53
RS;2;DC;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;1;0,3333;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ANALFABETO;70 a 79 anos;2;1;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,0294;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;11;0,1618;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;9;0,1324;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;19;0,2794;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;27;0,3971;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;2;0,0286;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;3;0,0429;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;13;0,1857;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;14;0,2;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;19;0,2714;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;19;0,2714;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;21 a 24 anos;1;0,0065;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;25 a 34 anos;5;0,0327;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;35 a 44 anos;19;0,1242;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;45 a 59 anos;32;0,2092;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;60 a 69 anos;51;0,3333;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;70 a 79 anos;30;0,1961;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO COMPLETO;Superior a 79 anos;15;0,098;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;25 a 34 anos;3;0,0435;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;35 a 44 anos;15;0,2174;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;45 a 59 anos;18;0,2609;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;60 a 69 anos;17;0,2464;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;70 a 79 anos;12;0,1739;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;Superior a 79 anos;4;0,058;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;LÊ E ESCREVE;45 a 59 anos;1;0,1667;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;LÊ E ESCREVE;60 a 69 anos;1;0,1667;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;LÊ E ESCREVE;Superior a 79 anos;4;0,6667;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;21 a 24 anos;1;0,0036;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;25 a 34 anos;9;0,0324;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;35 a 44 anos;40;0,1439;1;2;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;45 a 59 anos;58;0,2086;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;72;0,259;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;70 a 79 anos;70;0,2518;0;1;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR COMPLETO;Superior a 79 anos;28;0,1007;0;2;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;25 a 34 anos;6;0,0714;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;35 a 44 anos;18;0,2143;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;45 a 59 anos;20;0,2381;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;60 a 69 anos;31;0,369;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;70 a 79 anos;6;0,0714;0;0;2024-10-04 18:04:53
RS;2;MDB;FEMININO;SUPERIOR INCOMPLETO;Superior a 79 anos;3;0,0357;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ANALFABETO;45 a 59 anos;2;1;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;25 a 34 anos;2;0,0465;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;1;0,0233;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;15;0,3488;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;11;0,2558;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;5;0,1163;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;9;0,2093;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;25 a 34 anos;2;0,0364;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;9;0,1636;0;0;2024-10-04 18:04:53
RS;2;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;17;0,3091;0;1;2024-10-04 18:04:53
